V2,V3,V4,V5,V7,V8,V9,V10,Q1,Q44,Q45_1,Q45_2,Q45_3,Q45_4,Q45_1,Q45_2,Q45_3,Q45_4,Q2,age,gender,self-disc,disc time_1,disc time_2,disc time_3,disc time_4,Q10,learn,learn_time_1,learn_time_2,learn_time_3,learn_time_4,Q13,perform,perf_time_1,perf_time_2,perf_time_3,perf_time_4,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q37,Q38,Q39_1,Q39_2,Q39_3,Q39_4,Q40,Q41,Q42_1,Q42_2,Q42_3,Q42_4,att check,note,note_time_1,note_time_2,note_time_3,note_time_4,Q24,PT_1,PT_2,PT_3,PT_4,PT_5,emp,DG,DG_time_1,DG_time_2,DG_time_3,DG_time_4,LP scale 1_1,LP scale 1_2,LP scale 1_3,LP scale 1_4,LP scale 1_5,LP scale 1_6,LP scale 1_7,LP scale 1_8,LP scale 1_9,Q31_1,Q31_2,Q31_3,Q31_4,LP scale 2_1,LP scale 2_2,LP scale 2_3,LP scale 2_4,LP scale 2_5,LP scale 2_6,LP scale 2_7,LP scale 2_8,Q34_1,Q34_2,Q34_3,Q34_4,Q50,Q46
ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,Thank you for your interest in our study! Today we will ask you to write about an experience in your...,Northwestern University /  /  Department of PsychologyConsent Script /  /    /  /    /  /    /  /  Study Title: Percepti...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"To begin, we would like to know a little bit about your basic demographics. Please answer the follow...",Age:,Gender:,Now we would like to get to know a little bit more about you. Please write one paragraph about who y...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Thank you for sharing that information. Now we are moving on to a different task. ,"Please think of a time when you met someone new in a social / situation. This should be a time when you aimed to understand that / person's values, attitudes or background. Please describe the / situatio...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Thank you for sharing that information. Now we are moving on to a different task. ,Please think of a time when you met someone new in a social / situation. This should be a time when you wanted to be judged / favorably by that person. Please describe the situation in about / 1-2 paragr...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Now we will show you a response that a previous participant wrote to the question about ""something i...","Who am I generally? I'm a 21 year old White woman, curly hair, athletic. I'm a student. I'd like to...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Now we will show you a response that a previous participant wrote to the question about ""something i...","Who am I generally? I'm a 21 year old Black woman, curly hair, athletic. I'm a student. I'd like to...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Now we will show you a response that a previous participant wrote to the question about ""something i...","Who am I generally? I'm a 21 year old White man, curly hair, athletic. I'm a student. I'd like to th...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Now we will show you a response that a previous participant wrote to the question about ""something i...","Who am I generally? I'm a 21 year old Black man, curly hair, athletic. I'm a student. I'd like to th...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Just to make sure you processed and understood what you just read, please tell us what the main poin...","Now you have the opportunity to write a note to the participant you / just read about. Please respond with your thoughts and feelings to / his/her ""interesting thing that has happened"". Your message wi...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please answer the following questions with regard to how you felt while reading the other participan...,Please indicate how well the statements describe you. -I sometimes found it difficult to see things from the other participant's point of view.,Please indicate how well the statements describe you. -I tried to understand the other participant better by imagining how things look from their perspective.,Please indicate how well the statements describe you. -I didn't waste much time thinking about the other participant's story.,"Please indicate how well the statements describe you. -Before criticizing the other participant, I tried to imagine how I would feel if I were in their place.",Please indicate how well the statements describe you. -I had a hard time understanding their point of view.,How much empathic concern did you feel for the other participant when reading their response?,You will be compensated 25 cents for participating in this study. You have the option  to keep all o...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please rate how much you agree with the following statements:-I prefer to do things that I can do well rather than things that I do poorly.,Please rate how much you agree with the following statements:-I’m happiest at work when I perform tasks on which I know that I won’t make any errors.,Please rate how much you agree with the following statements:-The opportunity to do challenging work is important to me.,"Please rate how much you agree with the following statements:-When I fail to complete a difﬁcult task, I plan to try harder the next time I work on it.",Please rate how much you agree with the following statements:-I prefer to work on tasks that force me to learn new things.,Please rate how much you agree with the following statements:-The things I enjoy the most are the things I do the best.,Please rate how much you agree with the following statements:-The opinions others have about how well I can do certain things are important to me.,Please rate how much you agree with the following statements:-The opportunity to learn new things is important to me.,Please rate how much you agree with the following statements:-I do my best when I’m working on a fairly difficult task.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please rate how much you agree with the following statements:-I feel smart when I do something without making any mistakes.,Please rate how much you agree with the following statements:-I try hard to improve on my past performance.,Please rate how much you agree with the following statements:-I like to be fairly conﬁdent that I can successfully perform a task before I attempt it.,Please rate how much you agree with the following statements:-I like to work on tasks that I have done well on in the past.,Please rate how much you agree with the following statements:-The opportunity to extend the range of my abilities is important to me.,Please rate how much you agree with the following statements:-I am reading this survey carefully. Please select strongly agree.,Please rate how much you agree with the following statements:-I feel smart when I can do something better than most other people.,"Please rate how much you agree with the following statements:-When I have difficulty solving a problem, I enjoy trying different approaches to see which one will work.",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,he study is very important to us and a considerable amount of time and effort has gone into creating...,“Making Choices” /  /  Information for Participants /  /    /  /    /  /  Thank you very much for being a part of th...
Default Response Set,Anonymous,,,1,5/22/13 10:06,5/22/13 10:10,1,1,1,13.14,13.14,18.863,1,13.144,13.144,18.866,1,1,f,1,f,2.462,2.462,7.469,1,,,,,,,1,f,12.25,12.25,14.501,1,,,,,,,,,,,,,1,1,0,0,41.539,0,,,,,,,f,f,9.855,9.855,11.786,1,1,1,1,1,1,1,6,f,21.02,21.02,23.122,1,1,1,1,1,1,1,1,1,1,7.47,33.236,35.753,9,1,1,1,1,1,1,1,,3.325,24.17,27.104,8,,1
Default Response Set,Anonymous,,,1,5/22/13 10:11,5/22/13 10:12,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,1,5/22/13 16:54,5/22/13 17:08,1,1,1,,,,,,,,,1,19,2,I'm a generally happy person and I like to make other people happy.  I like spending time with people but I also like spending time alone.  School is really important to me and I always give 110% in everything I do academic-wise.  Something interesting that has happened in my life recently is that both my brothers decided to come to Northwestern next year and I have been spending time showing them around campus!,35.578,35.578,208.387,1,,,,,,,1,"We had a date night for my sorority a couple weeks ago.  Since I am not currently talking to any guys, I decided to let my friend set me up with one of her date's friends for the date night.  I had never met him before this night, so upon first arrival to the pre-date night get together, I wanted to make a good impression, obviously, because he was going to be my date for the night.  I wore a nice dress and curled my  hair.  Although I am sometimes a shy person, I made sure to act particularly friendly because I wanted him to have a good impression of me.  Conveying that I'm likeable helped me perform well because it ended up being a great night due to his initial good impression of my friendly personality. ",17.245,108.33,182.407,3,1,1,0,0,29.101,0,,,,,,,,,,,,,,,,,,,She and her boyfriend broke up,"My boyfriend and I broke up a little over a month ago too.  Although we had not dated as long as you and your boyfriend had, I definitely had the same feeling afterwards.  We became so close and spent so much time together that after we broke up, it's all I could think about.  Every song, every person, every place reminded me of him.  It was so incredibly irritating.  My friends told me the same thing that yours told you.  However, at this point I can honestly say that I rarely think about him and my life is going in a positive direction.  You will definitely find someone else but for the time being you have to be happy being an independent woman!",10.493,142.448,150.679,6,1,1,7,2,7,1,6,0,7.045,7.54,10.636,2,7,4,5,6,5,7,4,7,3,7.375,34.742,35.892,9,6,6,4,5,7,7,3,,6.316,24.295,4.48,8,,1
Default Response Set,Anonymous,,,0,5/23/13 16:15,5/23/13 16:20,1,1,1,,,,,,,,,1,26,2,"I am a creative individual with many goals for my life.  At the moment, I have many interesting things going on.  One of which is me finding a new place of employment to further continue my career.",1,1,39.728,1,1,I had to meet new people when I switched jobs 3 years ago.  We eventually went to lunch together and discussed various things and learned more and more about each other in that way.,2.336,2.336,40.633,1,,,,,,,,,,,,,1,1,0,0,23.534,0,,,,,,,,,,,,,The breakup with her boyfriend,"It gets better, trust me.  I know everyone has probably told you the same already, but it really does.  Eventually you move on, make time for the friends you didn't make or have time for before, and you may eventually find someone new.  Maybe not right away but down the road you will.",1.426,1.426,41.171,1,1,2,6,1,5,2,5,5,9.11,9.495,11.48,2,6,7,6,5,5,7,4,5,5,3.856,34.303,35.024,10,6,7,5,6,7,7,6,5,3.338,19.874,20.446,8,2,1
Default Response Set,Anonymous,,,0,5/23/13 16:21,5/23/13 16:30,1,1,1,,,,,,,,,1,28,1,"I am a normal person who has a had a good and crazy life that has shaped me into the kind of person I am today. Good and bad have made what I am today and I wouldnt take anything back because it has gotten to me to this point in my life, and I am really happy it is. I recently found a new love in beer, not bad beer but good beer. Some people love wine and want to find new wines, I want to find new beers. I have found out that is so much out there when it comes to beer that I never knew of and its very exicitng. I found a new store down the road from me and its been a true blessing.",1.255,60.279,122.115,4,,,,,,,1,It was a cute girl that I had heard of and even talked to on the phone. I already new I liked her and wanted her to like me just as much. I acted normal or at least tried to act as normal with her as I did when we talked on the phone. She was a fun girl and easy to talk to. It made it easy for me to act normal and be ok with her.,4.304,4.304,60.716,1,,,,,,,,,,,,,,,,,,,1,1,0,0,17.461,0,That he and his girlfriend broke up,"Well that kind of things appears to happen all the time and its usually the girl who wants to see other people. I dont know what is but girls are like that. They have a different thought process when it comes to dating and love. They are not patient enough to see if things can work out with one guy, instead want to try them all out.",5.663,5.663,64.025,1,1,2,6,2,6,2,5,0,2.605,2.605,9.619,1,4,4,6,6,6,4,6,6,6,43.957,58.969,59.91,10,6,6,6,6,6,7,6,4,16.668,27.617,31.075,8,2,1
Default Response Set,Anonymous,,,0,5/23/13 16:28,5/23/13 16:37,1,1,1,,,,,,,,,1,38,1,"I am a 38 year old male, married for 11 years with 2 kids. I have a nice job in the Information Technology field, and have worked in that field for 18 years. I really enjoy playing with my kids, watching shows with my wife or playing video games",1.578,1.578,68.499,1,1,"When I moved to Illinois I attended a party with my brother and sister-in-law. During this party I met an individual who shared the same interests as me. After talking with this person I learned it is good to listen to people, more than talk about myself",2.966,8.303,63.886,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11.493,23.461,25.325,3,The 21 year old African american had recently broken up with a long time girlfriend,"I read your thoughts on the survey about how you recently broke up with your girlfriend. Sorry that this happened to you, but try and remember that while it may hurt now you have to respect that she was up front with you. Better than her to protect your feelings and then end it later. /  / I hope you find someone, or something, that you enjoy. You have a lot of opportunities in front of you, check them all out if you're interested",1.867,5.9,110.315,3,1,2,6,1,7,1,6,20,8.03,8.03,10.399,1,6,1,5,7,7,6,6,6,7,4.8,32.048,32.729,9,7,7,7,7,6,7,7,6,3.661,22.189,22.822,8,2,1
Default Response Set,Anonymous,,,0,5/23/13 17:01,5/23/13 17:11,1,1,1,,,,,,,,,1,18,1,"I'm a very introverted unemployed shut-in.  I mostly do housework.  I recently helped my father remove the safety bars from a window; they turned out to be low on safety, because two of the screws were barely attached and once unscrewed, the bars basically just fell off.",1.327,106.908,109.166,4,,,,,,,1,"The last time I did that was at the beginning of my senior year in high school.  Trying to do anything at all has never helped me do better in social situations, though; I just need to relax and roll with it or I'll get nervous about nothing in particular.",1.463,142.819,156.671,8,,,,,,,,,,,,,1,1,0,0,31.252,0,,,,,,,The man and his girlfriend of many years broke up very recently.,I don't have anything in particular to say to this stranger.,2.234,2.234,27.587,1,1,3,5,4,5,2,3,"0 cents.  This is my only source of income, and as much as I dislike it, every stupid dime counts.",1.266,34.241,41.804,2,6,5,5,4,5,3,6,7,4,4.284,34.197,35.054,10,7,6,6,5,7,7,6,5,3.789,34.557,35.105,10,2,1
Default Response Set,Anonymous,,,0,5/23/13 17:34,5/23/13 17:52,1,1,1,,,,,,,,,1,21,1,Hello I am a 21 year male that was born in California. I had a great upbringing and got a fantastic education. I really enjoy playing soccer and watching soccer as well. Something interesting that happened to me lately was hitting a deer while driving. Thanks for reading ,9.338,9.338,256.908,1,,,,,,,1,"I met this really attractive girl named rose. I introduced myself and we talked for awhile, getting to know each other a little bit. I was trying to convey that I was likable so that the interaction would be easier and go smoother.",20.95,98.176,189.942,6,,,,,,,,,,,,,,,,,,,1,1,51.583,51.583,52.556,1,His girlfriend broke up with this guy in college because she didn't want to be tied down and wanted to see other people.,"Hey man, keep in touch with her if you still really like her because she may come running back to you. If not though it is time to move on, and leave her in the past. It may be tough but it has to be done. Once you do that you can be yourself and find another lovely lady. /  / Peace dude",21.465,21.465,180.309,1,1,4,4,4,4,2,4,5 cents,30.493,30.493,43.711,1,4,4,4,4,4,4,4,4,4,4.498,10.983,12.09,11,4,4,4,4,4,4,4,7,6.168,12.024,13.057,9,1,1
Default Response Set,Anonymous,,,0,5/23/13 16:51,5/23/13 17:53,1,1,1,,,,,,,,,1,20,2,"The biggest thing about me is that I'm a feminist and a student. Something interesting that has happened to me recently was the realization that feminism has taught me acceptance and love not only for others but also for myself. The biggest myth of feminism is that we hate men (we don't, I swear) and that we are bra burning crazies. Through my studies I found feminism to be the complete opposite of its perceptions. This reflection is probably of no interest to anyone but myself but I'm okay with that. ",8.816,1592.197,1629.793,7,1,"One of my favorite things to do is meet new people and attempt to understand why they are the way they are. Recently I met someone who just started working at  my job. I'm going to admit that at first she really got on my nerves because she was boisterous, a little bit of a know it all and called me ma'am, dear and honey within the span of a minute (this only got on my nerves because she's my age). Once I got over my initial reaction, I realized this girl just approached life differently than I do and her zest for life is different than mine. I could tell she was from a rural area by the way she spoke and presented herself. When I meet new people, I also like to try to figure out their political affiliations from their actions but I couldn't gage hers (I pass no judgements but I feel as though people's political affiliations or lack thereof show a lot about them).  / Attempting to learn about a stranger is something that needs to teach other's acceptance and understanding. When you meet a person for the first time, you have no idea what is behind their eyes, the struggles they may or may not have faced, their hopes and dreams and it is important not to make quick and long lasting judgements. ",2.864,979.625,982.496,15,,,,,,,1,1,0,0,22.02,0,,,,,,,,,,,,,,,,,,,Her and her long term boyfriend just broke up,"When I read your paragraph I immediately felt sympathy for you because break ups can be hard but especially if you've been with someone for as long as it seems you were. I found myself in a similar situation a few years ago and it sucked. You get so used to this person's presence in your life and it seems like there is no possible way you can go on without them. My situation was different though because the boy I was with was very controlling of me so I found that once we were over for good, a weight was lifted off my shoulders. When not so good things happen to me, I just tell myself that everything happens for a reason even if that reason isn't apparent to us at that time. If I would have stayed with the guy I had been dating since high school, it wouldn't allow me to be the person I am today because he wouldn't have allowed me to come into myself the way I have (if that makes sense?) and I also wouldn't have met the love of my life.  / Good luck getting through your break up! Stay strong but also remember that it's okay to mourn the loss of this person who played such an important role in your life. Also remember that everything happens for a reason. ",1.089,117.79,597.702,4,1,1,7,1,7,1,7,2,1.654,1.654,15.276,1,7,3,6,7,7,3,3,7,6,6.237,42.16,43.145,9,7,7,4,5,7,7,6,6,4.493,41.373,43.421,9,2,1
